ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
376;Wilfred;7.8;2011;2014;22;The story of a depressed man who inexplicably is the only one who can see his neighbor's dog as a full grown man in a dog suit.
377;Home Improvement;7.2;1991;1999;22;"The daily trials and tribulations of Tim ""The Tool Man"" Taylor, a television show host raising three mischievous boys with help from his loyal co-host, loving wife, and eccentric neighbor."
378;Ugly Betty;6.5;2006;2010;60;Smart but wholesome Betty embraces her unique appearance and independent attitude in the cutthroat world of New York fashion.
379;Power;8.1;2014;2020;50;"James ""Ghost"" St. Patrick, a wealthy New York night club owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin."
380;Roseanne;7;1988;2018;21;"A revival of the popular 1990s sitcom ""Roseanne"", which centered on the everyday life of an American working-class family."
381;Robot Chicken;7.7;2005;null;11;Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.
382;Numb3rs;6.9;2005;2010;43;Working for the F.B.I., a mathematician uses equations to help solve various crimes.
383;Grace and Frankie;8.3;2015;null;30;Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.
384;Dark Matter;7.5;2015;2017;42;In the dystopian 27th century, six people wake up on a deserted spaceship with no memory of who they are or what they're doing there. They reluctantly team up and set off to find answers with the help of a female android.
385;Boy Meets World;8.1;1993;2000;23;An adolescent with two siblings tests his various theories about life as he endures the trials of growing up alongside a good friend.
386;Jane the Virgin;7.8;2014;2019;60;A young, devout Catholic woman discovers that she was accidentally artificially inseminated.
387;Castlevania;8.2;2017;null;23;A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.
388;Chicago Fire;7.9;2012;null;43;The story of firefighters in Chicago, both on a personal and professional level
389;Ratched;7.3;2020;null;53;In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.
390;Torchwood;7.7;2006;2011;50;The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats.
391;Castle Rock;7.6;2018;2019;60;Based on the stories of Stephen King, the series intertwines characters and themes from the fictional town of Castle Rock.
392;The Cleveland Show;5.5;2009;2013;22;The adventures of the Family Guy (1999) neighbor and former deli owner, Cleveland Brown.
393;Alcatraz;7;2012;null;60;In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them.
394;Poirot;8.6;1989;2013;100;The cases of eccentric, but sharp, Belgian detective Hercule Poirot.
395;Courage the Cowardly Dog;8.2;1999;2002;11;The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land.
396;Ballers;7.6;2015;2019;30;A series centered around a group of football players and their families, friends and handlers.
397;Anne;8.7;2017;2019;60;The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.
398;Poketto monsutÃ¢;7.5;1997;null;24;Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.
399;Messiah;7.6;2020;null;43;When a CIA officer investigates a man, and his followers, attracting international attention through acts of public disruption, she embarks on a global high-stakes mission to uncover whether he is a divine entity, or a deceptive con artist.
400;The Colbert Report;8.4;2005;2014;30;Satirical newscaster Stephen Colbert provides humorous commentary on the big issues going on in the United States and the rest of the world, with his larger-than-life ego and overly-patriotic spirit along with him every step of the way.
401;X-Men;8.4;1992;1997;23;A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
402;The Nanny;6.9;1993;1999;22;After being fired from her job and dumped by her boyfriend, a cosmetics saleswoman becomes the nanny to the three children of a rich English widower. As time passes, the two fall for each other.
403;Empire;7.4;2015;2020;42;A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers.
404;Trailer Park Boys;8.4;2001;2018;30;Three petty felons have a documentary made about their life in a trailer park.
405;The Powerpuff Girls;7.2;1998;2005;30;Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things.
406;Love;7.7;2016;2018;50;A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment and other things they were hoping to avoid.
407;Ted Lasso;8.7;2020;null;30;Follows US American Football coach Ted Lasso heading to the UK to manage a struggling London football team in the top flight of English football.
408;The Terror;8;2018;null;60;Supernatural, semihistorical, horror anthology series, where each season is inspired by a different infamous or mysterious real life historical tragedy.
409;Hannah Montana;5.1;2006;2011;23;Adventures of a teenage pop star who keeps her identity secret from even her closest friends by using a disguise on-stage.
410;Hemlock Grove;7.1;2013;2015;46;Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.
411;Timeless;7.7;2016;2018;60;An unlikely trio travel through time in order to battle unknown criminals and protect history as we know it.
412;Tokyo Ghoul;7.9;2014;null;24;A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.
413;Sword Art Online;7.6;2012;null;24;In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.
414;Father Ted;8.6;1995;1998;25;Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.
415;What We Do in the Shadows;8.5;2019;null;30;A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.
416;Dawson's Creek;6.6;1998;2003;60;Four friends in a small coastal town help each other cope with adolescence.
417;Humans;8;2015;2018;42;In a parallel present where the latest must-have gadget for any busy family is a 'Synth' - a highly-developed robotic servant that's so similar to a real human is transforming the way we live.
418;The Black Adder;8.1;1982;1983;195;In the Middle Ages, Prince Edmund the Black Adder constantly schemes and endeavors to seize the crown from his father and brother.
419;Boku no hÃ®rÃ´ akademia;8.5;2016;null;24;A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.
420;Drake & Josh;7.7;2004;2007;23;Two teens become step brothers. One is an awkward geek and the other is a popular musician.
421;O Mecanismo;8.4;2018;null;41;Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.
422;Haven;7.6;2010;null;60;"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
423;Doctor Who;8.4;1963;1989;45;The adventures in time and space of the Doctor, a Time Lord who changes appearance and personality by regenerating when near death, and is joined by companions in battles against aliens and other megalomaniacs.
424;Phineas and Ferb;8;2007;2015;15;Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.
425;Lethal Weapon;7.9;2016;2019;44;A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.
426;Raising Hope;8;2010;2014;22;Jimmy becomes a single parent to an infant after her mother, with whom he had a one-night stand, ends up on Death Row.
427;Masters of Sex;7.9;2013;2016;60;Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.
428;Young Sheldon;7.4;2017;null;30;Meet a child genius named Sheldon Cooper
429;Scream Queens;7.1;2015;2016;45;A semi-anthology series that centers on characters being terrorized by a serial killer in different locations, including a university and a hospital.
430;Sabrina the Teenage Witch;6.7;1996;2003;22;When a sixteen-year-old high school student finds out she's a witch, her two aunts offer guidance on how to control her newly-discovered magical powers.
431;Doom Patrol;7.9;2019;null;60;The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
432;Line of Duty;8.7;2012;null;60;Drama series following the investigations of AC-12, a controversial police anticorruption unit.
433;Don't Trust the B---- in Apartment 23;7.3;2012;2013;22;Chloe is a New York party girl with the morals of a pirate. She causes trouble for her naive small town roommate, June, and Chloe's best friend, James Van Der Beek.
434;The A-Team;7.5;1983;1987;60;Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military.
435;Happy Endings;7.7;2011;2020;22;This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together.
436;The Wonder Years;8.3;1988;1993;22;Kevin Arnold recalls growing up during the late 60s and early 70s
437;Everybody Hates Chris;7.4;2005;2009;22;A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s.
438;According to Jim;6.4;2001;2009;30;A television show centered around a macho everyman, his loving wife, and their three precocious children.
439;Scream: The TV Series;7.2;2015;2019;45;A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.
440;The Tomorrow People;7.2;2013;2014;43;Evolved humans with amazing abilities (Teleportation, Telekinesis, Telepathy) are being hunted down by agents of Ultra.
441;The Fairly OddParents;7.2;2001;2017;30;After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences.
442;The Ranch;7.5;2016;2020;30;The son of a Colorado rancher returns home from a semi-pro football career to run the family business.
443;Happy Valley;8.4;2014;null;58;Yorkshire based crime drama centring on the personal and professional life of Police Sergeant Catherine Cawood.
444;Impractical Jokers;8.6;2011;null;30;Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.
445;Goliath;8.2;2016;null;60;A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.
446;Farscape;8.2;1999;2003;50;Thrown into a distant part of the universe, an Earth astronaut finds himself part of a fugitive alien starship crew.
447;Legend of the Seeker;7.6;2008;2010;44;After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny.
448;Ed, Edd n Eddy;7.4;1999;2008;30;The off-the-wall, day-to-day life of three friends who have exactly the same name.
449;Happy!;8.2;2017;2019;60;An injured hitman befriends his kidnapped daughter's imaginary friend - a perky blue flying unicorn.
450;Episodes;7.8;2011;2017;30;A couple of British TV producers move to Hollywood to export their most popular series, and find it is not what they expected.
451;iCarly;6.6;2007;2012;30;Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular webcasts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving.
452;The Flintstones;7.5;1960;1966;26;The misadventures of two modern-day Stone Age families, the Flintstones and the Rubbles.
453;Johnny Bravo;7.2;1997;2004;30;The misadventures of a dumb blond egomaniac who is deluded about his own manliness.
454;Final Space;8.3;2018;null;30;An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.
455;Z Nation;6.7;2014;2018;44;Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.
456;The Suite Life of Zack & Cody;6.5;2005;2008;30;Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel.
457;Red Dwarf;8.4;1988;null;30;The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf.
458;Life;8.3;2007;2009;45;A former police officer returns to the force after having been wrongly imprisoned for years.
459;Blue Bloods;7.6;2010;null;43;Revolves around a family of New York cops.
460;Top of the Lake;7.5;2013;2017;60;Obsessed with the disappearance of a 12-year-old pregnant girl near a freezing lake in New Zealand, a brave detective will find herself up against small-town secrets and a side of herself that was meticulously kept at bay.
461;Batwoman;3.4;2019;null;45;Batwoman seeks justice for Gotham City.
462;Saved by the Bell;7;1989;1992;30;A close-knit group of six friends get through their teens together while attending Bayside High School in Palisades, California.
463;The Filthy Frank Show;9.5;2011;2017;12;Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.
464;Safe;7.3;2018;null;60;After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him.
465;Yellowstone;8.6;2018;null;60;A ranching family in Montana faces off against others encroaching on their land.
466;Good Girls;7.8;2018;null;43;Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.
467;Rugrats;7.4;1990;2006;30;The cartoon misadventures of four babies and their snotty older cousin as they face the things in life they don't understand.
468;Law & Order;7.7;1990;2010;45;Follows a crime (usually a murder), usually adapted from current headlines, from two separate vantage points, the police investigation and the prosecution in court.
469;Young Justice;8.6;2010;null;23;Teenage superheroes strive to prove themselves as members of the Justice League.
470;The Golden Girls;7.9;1985;1992;30;Four previously married women live together in Miami, sharing their various experiences together and enjoying themselves despite hard times.
471;Rules of Engagement;7.3;2007;2013;22;Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage.
472;ALF;7.4;1986;1990;30;A furry alien wiseguy comes to live with the Tanner family after crashing into their garage.
473;The Protector;6.7;2018;2020;40;Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.
474;Shooter;7.5;2016;2018;60;A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.
475;Bored to Death;7.9;2009;2011;28;A well-meaning but struggling writer decides to lead a sort of double life by pretending to be a private detective using the methods he read about in old detective novels.
476;The Goldbergs;8.1;2013;null;22;This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs.
477;The Cosby Show;7.3;1984;1992;30;The goings-on in the life of a successful African-American family.
478;The Family Man;8.5;2019;null;45;A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.
479;Beverly Hills, 90210;6.4;1990;2000;44;A group of friends living in Beverly Hills, California make their way through life from their school days into adulthood.
480;A Discovery of Witches;8;2018;null;60;Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.
481;The Bugs Bunny Show;8.6;1960;1975;30;TV series featuring the classic Looney Tunes animated shorts.
482;Star Wars: Rebels;8;2014;2018;22;A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.
483;The Gifted;7.3;2017;2019;43;In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity.
484;Hunters;7.2;2020;null;60;In 1977, in New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against the cabal of high-ranking Nazi officials in hiding who work to create the Fourth Reich.
485;The Rain;6.3;2018;2020;45;After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.
486;Parenthood;8.2;2010;2015;60;The lives and tragedies of the Braverman family tree.
487;Dark Angel;7.4;2000;2002;60;A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest.
488;Hey Arnold!;7.6;1996;2004;15;The everyday life of Arnold, a fourth-grader in a nameless city that resembles Brooklyn, New York, who lives in a multi-racial boarding house with his grandparents and a motley assortment of friends and neighbors.
489;Ally McBeal;6.8;1997;2002;45;Follows the personal and professional life of lawyer Ally.
490;Suburgatory;7.2;2011;2014;22;Tessa Altman is used to the big city but when her dad moves her away, she has to adapt to her new suburban life in Chatswin.
491;Colony;7.4;2016;2018;42;In the wake of a mysterious alien invasion, a family fights to stay together in a new world order.
492;Sneaky Pete;8.1;2015;2019;60;A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate, Pete, reuniting with his estranged family, that threatens to drag him into a world just as dangerous as the one he's escaping.
493;Scooby Doo, Where Are You!;7.9;1969;1970;22;A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function.
494;An Idiot Abroad;8.3;2010;2012;43;Brit Karl Pilkington has led a sheltered life. Not having done any traveling, he enjoys living within the comforts of what he knows, basically that being what is purely British. As such, ...                See full summaryÂ Â»
495;Regular Show;8.4;2009;2017;23;The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.
496;Anger Management;6.6;2012;2014;22;Ex baseball player Charlie is an anger management therapist with small group sessions at home. He has an OCD teen daughter, an ex-wife and a sex buddy/therapist.
497;Rizzoli & Isles;7.6;2010;2016;60;Detective Jane Rizzoli and Chief Medical Examiner Dr. Maura Isles team up to solve crimes in Boston.
498;Gomorra: La serie;8.7;2014;null;55;Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
499;Wizards of Waverly Place;6.9;2007;2012;22;The Russo family may be an ordinary family with an average restaurant, but behind close doors, all three children must compete to be the next family wizard.
500;QI;8.6;2003;null;30;A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.
501;Last Man Standing;7.6;2011;2021;30;A married father of three tries to maintain his manliness in a world increasingly dominated by women.
502;F Is for Family;8;2015;null;30;Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.
503;Strike Back;8.2;2010;2020;45;Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe.
504;Longmire;8.3;2012;2017;60;Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.
505;Lovecraft Country;7.1;2020;null;60;A young African-American travels across the U.S. in the 1950s in search of his missing father.
506;KenpÃ» Denki Berserk;8.7;1997;1998;23;Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.
507;Lost Girl;7.7;2010;2016;44;Bo is a supernatural being who challenges her clan's way of life.
508;The Mindy Project;7.4;2012;2017;30;A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.
509;Halt and Catch Fire;8.4;2014;2017;60;Follows some players in the 80s technological revolution that lead to information society.
510;Mom;7.2;2013;2021;30;A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.
511;Dharma & Greg;6.3;1997;2002;30;A free-spirited yoga instructor finds true love in a conservative lawyer and they get married on the first date. Though they are polar opposites, he fulfills her need of stability and she fulfills his need of optimism.
512;Chicago P.D.;8.1;2014;null;43;Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.
513;Demon Slayer: Kimetsu No Yaiba;8.7;2019;null;25;A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.
514;Derek;8;2012;2014;23;Derek is a loyal nursing home care assistant who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.
515;Columbo;8.2;1971;2003;100;Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.
516;Helix;6.8;2014;2015;40;A team of scientists are thrust into a potentially life-or-death situation when they arrive in the Arctic to secretly investigate what could be an outbreak of a strange disease in a secluded international research facility.
517;Dirilis: Ertugrul;7.9;2014;2019;120;The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.
518;Pinky and the Brain;7.9;1995;1998;30;A genius mouse and his stupid sidekick try to conquer the world each night.
519;Skam;8.6;2015;2017;30;The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.
520;Dracula;7.4;2013;2014;43;Dracula travels to London, with dark plans for revenge against those who ruined his life centuries earlier. However, his plan is complicated when he falls in love with a woman who seems to be a reincarnation of his dead wife.
521;Babylon 5;8.3;1993;1998;45;In the mid 23rd century, the Earth Alliance space station Babylon 5, located in neutral territory, is a major focal point for political intrigue, racial tensions and various wars over the course of five years.
522;Kyle XY;7.5;2006;2009;60;A family takes in a formerly institutionalized teen savant who is missing standard human behaviors such as anger, joy, and love.
523;Kota Factory;9;2019;null;45;Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.
524;Damages;8.1;2007;2012;60;A law school graduate becomes the protÃ©gÃ©e of a successful high-stakes litigator.
525;Snowpiercer;6.8;2020;null;60;Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.
526;Party Down;8.2;2009;2010;30;A group of actors move to Los Angeles to make it big, but end up working as caterers.
527;Beavis and Butt-Head;7.5;1993;2011;15;"Animated MTV series about two teenage heavy-metal music fans who occasionally do idiotic things because they're bored. For them, everything is ""cool"" or ""sucks."""
528;Alphas;7.2;2011;2012;44;Alphas is a science fiction drama focusing on a team that investigates people with supernatural abilities.
529;Hercules: The Legendary Journeys;6.5;1995;1999;44;Hercules, aided by his best friend Iolaus, goes on many adventures helping people and slaying mythical monsters using his half-god strength.
530;Behzat Ã‡.: Bir Ankara Polisiyesi;8.8;2010;2019;90;Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other...                See full summaryÂ Â»
531;Ezel;8.6;2009;2011;90;Betrayed by his trusted friends and the woman he loved, Ã–mer UÃ§ar returns as Ezel to exact his vengeance.
532;Roswell;7.5;1999;2002;42;The lives of three young alien/human hybrids with extraordinary gifts in Roswell.
533;American Vandal;8.2;2017;2018;34;A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.
534;Spider-Man;8.4;1994;1998;23;A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.
535;Broad City;8.4;2014;2019;22;Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.
536;Covert Affairs;7.3;2010;2014;60;Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent.
537;The Boondocks;8.4;2005;2014;22;Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.
538;Keeping Up with the Kardashians;2.8;2006;null;44;A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney, KhloÃ©, Kendall and Kylie.
539;Lilyhammer;8;2012;2014;45;A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.
540;Panchayat;8.7;2020;null;35;A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.
541;Spin City;7.3;1996;2002;30;Mike Flaherty, the Deputy Mayor of New York City, and his team of half-wits must constantly save the Mayor from embarrassment and the media. Mike is later succeeded by Charlie Crawford.
542;Teen Titans;7.8;2003;2006;30;A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.
543;Asur: Welcome to Your Dark Side;8.4;2020;null;43;A unique crime thriller that pits two opposing worlds against each other. The less explored, intricate world of forensic science and the deep mysticism of ancient Indian Mythology.
544;Quantum Leap;8.1;1989;1993;60;"During a government experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the bodies of different people on a regular basis and sorting out their problems whilst trying to get back home to his own time."
545;Pod prikritie;8.9;2011;2016;60;Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.
546;Hanna;7.5;2019;null;60;In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.
547;Poldark;8.3;2015;2019;60;Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.
548;Las Vegas;7.4;2003;2008;60;Welcome to the Montecito Resort and Casino in Las Vegas, where you can do anything you want, but Ed Deline and his crack surveillance team will be watching. Just remember: what happens in Vegas stays in Vegas.
549;Steven Universe;8.2;2013;2020;11;A team of intergalactic warriors fights to protect the universe, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.
550;The Carrie Diaries;7;2013;2014;42;Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan.
551;Medium;6.9;2005;2011;60;Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.
552;Superstore;7.8;2015;null;22;A look at the lives of employees at a big box store.
553;The Exorcist;8;2016;2018;45;Follows three priests dealing with cases of a demonic presence targeting a family and a foster home.
554;The Event;7;2010;2011;43;When a man goes looking for his missing girlfriend, he stumbles upon a government conspiracy that is bigger than the president himself.
555;Harper's Island;7.5;2009;null;40;Harper's Island was once the scene of a gruesome series of murders. Now, seven years later, family and friends gather on the island for a wedding, but one by one they begin to die.
556;My Wife and Kids;6.8;2001;2005;30;Michael Kyle longs for a traditional life, but his day-trader wife Janet, gangsta rap-worshipping son Michael Jr., and brooding daughters Claire and Kady make his dream just that ... a dream.
557;Living with Yourself;7.2;2019;null;26;An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself.
558;Baywatch;5.3;1989;2001;60;At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis.
559;The Deuce;8.1;2017;2019;60;A look at life in New York City during the 1970s and '80s when porn and prostitution were rampant in Manhattan.
560;Rescue Me;8.3;2004;2011;60;Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men.
561;Fuller House;6.8;2016;2020;30;In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.
562;Family Matters;6.6;1989;1998;30;The Winslow family deal with various misadventures, many of them caused by their pesky next-door neighbor, ultra-nerd Steve Urkel.
563;Nurse Jackie;7.7;2009;2015;27;A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas.
564;The Fosters;7.9;2013;2018;60;Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children.
565;Better Off Ted;8.2;2009;2010;30;In an amoral science-based company, a manager tries to keep control of his scientists while being pressured by his shrewd boss.
566;Another Life;5;2019;null;43;Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.
567;Rectify;8.3;2013;2016;60;Daniel Holden must put his life back together after serving 19 years on Georgia's Death Row before DNA evidence calls his conviction into question.
568;Southland;8.4;2009;2013;42;The lives of Police Officers working for the Los Angeles Police Department.
569;Never Have I Ever;7.9;2020;null;30;The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.
570;Top Gear;8.3;1978;2002;30;Quentin, Tiff, Vicki and others look at all things car-related.
571;Batman Beyond;8.1;1999;2001;23;Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham.
572;Cold Case;7.6;2003;2010;44;"The Philadelphia homicide squad's lone female detective finds her calling when she's assigned ""cold cases"", older crimes that have never been solved."
573;The Kominsky Method;8.2;2018;null;30;An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.
574;Forbrydelsen;8.4;2007;2012;57;Police detective Sarah Lund investigates difficult cases with personal and political consequences.
575;Marcella;7.4;2016;null;45;Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her.
576;Witches of East End;7.6;2013;2014;60;Two sister, bartender and librarian, discover as adults that they're witches with magical powers. They, their mom and her sister, all witches, are up against a mortal enemy.
